id,date,text,CAR
1742235895166652609,2024-01-02 17:26:21+00:00,Congratulations Tesla team on a great year!!,-0.053737153575788586
1784785885416067521,2024-04-29 03:24:49+00:00,"@MuskBreaking Thanks George ❤️ 

We redirected everyone who wasn’t building cars to delivering cars – legal, finance, HR, designers, everyone. I personally delivered many cars. 

Tesla was out of cash, so it was a case of deliver or die. The team delivered.",-0.06948412391743303
1784783215678349392,2024-04-29 03:14:12+00:00,@Teslaconomics Tesla China team is great,-0.06948412391743303
1784561310883344542,2024-04-28 12:32:26+00:00,"@WholeMarsBlog Tesla will spend around $10B this year in combined training and inference AI, the latter being primarily in car.

Any company not spending at this level, and doing so efficiently, cannot compete.",0.0834739908742053
1784375472887066653,2024-04-28 00:13:59+00:00,"As Cathie Wood states, Tesla is the biggest AI project on Earth",0.0834739908742053
1783971365349171640,2024-04-26 21:28:12+00:00,Try out Tesla supervised full self-driving and you’ll be amazed!,0.15502055477331814
1783728663932153881,2024-04-26 05:23:48+00:00,@niccruzpatane @Tesla @WholeMarsBlog @SawyerMerritt Cool,0.15502055477331814
1783290757035798672,2024-04-25 00:23:43+00:00,@Gfilche @Tesla @bgurley @altcap Yeah,-0.0072797987212116335
1782826163326579110,2024-04-23 17:37:35+00:00,"Tesla has now created over 30,000 manufacturing jobs in California!",0.1885964361968559
1782823375322378690,2024-04-23 17:26:30+00:00,@niccruzpatane @Tesla @WholeMarsBlog @tesla_na Yeah,0.1885964361968559
1782552493928460522,2024-04-22 23:30:07+00:00,Tesla is the lowest cost car to maintain https://t.co/VJjggL4l1E,0.21418539235194434
1782503604064022750,2024-04-22 20:15:51+00:00,@WhatsupFranks @niccruzpatane @Tesla Nice,0.21418539235194434
1782436262881661053,2024-04-22 15:48:15+00:00,@niccruzpatane @Tesla Exactly. The ads were far too generic – could’ve been any car.,0.21418539235194434
1782067256194633756,2024-04-21 15:21:57+00:00,"@iliketeslas @WholeMarsBlog Other cars change prices constantly and often by wide margins via dealer markups and manufacturer/dealer incentives. Only a fool thinks the “MSRP” is the real price. 

Tesla prices must change frequently in order to match production with demand.",0.12753092851050296
1782054997443727743,2024-04-21 14:33:15+00:00,@niccruzpatane @Tesla @WholeMarsBlog @tesla_na A Tesla can float briefly,0.12753092851050296
1781855214460428580,2024-04-21 01:19:23+00:00,@mayemusk @Tesla Nice to see you at work ❤️,0.12753092851050296
1781544584100659557,2024-04-20 04:45:03+00:00,And the gas savings are very real. That’s why so many Uber drivers use Tesla!,-0.00014469991618406425
1781541775183610310,2024-04-20 04:33:53+00:00,"@cb_doge Unfortunately, very heavy Tesla obligations require that the visit to India be delayed, but I do very much look forward to visiting later this year.",-0.00014469991618406425
1780311790737596736,2024-04-16 19:06:22+00:00,@SawyerMerritt We are simplifying and streamlining the whole Tesla sales and delivery system. It has become complex and inefficient.,-0.05483427010516539
1780262410713968925,2024-04-16 15:50:09+00:00,"@ICannot_Enough Very half decade or so, Tesla has to do a complete organizational overhaul to reach the next level. 

That said, our executive tenure is unusually high at well over 10 years at Tesla.",-0.05483427010516539
1780041438002385076,2024-04-16 01:12:05+00:00,"@MinimalDuck @Tesla Cool, sorry it took so long for the auto wipers to work well. Harder than it seems.",-0.05483427010516539
1779925350446686470,2024-04-15 17:30:47+00:00,"@Gfilche @Tesla After taking a well-deserved break, Drew will no doubt go on to do great things. I look forward to following what he does next.",-0.07143171130233682
1779889882615177355,2024-04-15 15:09:51+00:00,@rohanspatel @Tesla Thanks for everything you’ve done for Tesla. Much appreciated.,-0.07143171130233682
1779885461290287117,2024-04-15 14:52:17+00:00,@baglino Thanks for everything you’ve done for Tesla. Few have contributed as much as you.,-0.07143171130233682
1778500046214009172,2024-04-11 19:07:08+00:00,Glad Tesla FSD was there to help and that you’re feeling well!,-0.01913741797862765
1777436816527741033,2024-04-08 20:42:14+00:00,@thetechbrother This is not accurate. Tesla would be second highest and X/xAI would be third if measured correctly.,0.021432674834870102
1776661667738468354,2024-04-06 17:22:05+00:00,@alex_avoigt Tesla is an AI/robotics and sustainable energy company,0.07879119752670892
1776398854516285825,2024-04-05 23:57:45+00:00,@TashaARK Won’t be long before Tesla exceeds 10B miles of FSD,0.05021007312923355
1776273522337452114,2024-04-05 15:39:43+00:00,@mayemusk Safety is Tesla’s top priority,0.05021007312923355
1775731044836381042,2024-04-04 03:44:07+00:00,@WholeMarsBlog Tesla would be happy to do such deals,-0.03310925751829528
1775730029252796461,2024-04-04 03:40:05+00:00,"@WholeMarsBlog Production rate and fully considered cost are the challenges. Demand for stationary batteries is super high.

I think Tesla might end up doing more total Joules in stationary than mobile long-term.",-0.03310925751829528
1775728744201879758,2024-04-04 03:34:58+00:00,"@TeslaBoomerMama @SawyerMerritt The support is super appreciated. 

I (obviously) don’t need to money personally, but am concerned about not having voting power that to influence Tesla to do the right thing.",-0.03310925751829528
1775645051017719913,2024-04-03 22:02:24+00:00,@SawyerMerritt Tesla is increasing comp (contingent on progress milestones) of our AI engineering team,-0.00872926232507193
1775644544853221599,2024-04-03 22:00:24+00:00,"@SawyerMerritt Ethan is very talented, but “vision chief” would be overstating things. 

There are over 200 excellent engineers in the Tesla AI/Autonomy team. Tesla’s pace of progress with autonomy is accelerating. 

The talent war for AI is the craziest talent war I’ve ever seen!",-0.00872926232507193
